tam,kan,mal,tel
cinna,,,cinna
vayatuvanta,,,vayasuvaccina
paruvamatainta,paripakvavada,paripakvamaya,paripakvamaina
kaninta,,,pandina
mantamana,mandavada,kanamulla,mandamaina
talaikkanamillata,ahankaravilladantaha,ahankaramillatta,nirabhimana
talaikkanamillata,abhimanyasunya,ahankaramillatta,nirahankara
akankaramillata,nirabhimanavada,ahankaramillatta,ahankara rahita
akampavamillata,nirabhimana,ahankaramillatta,abhimanasunyudaina
avaciyamana,,,avasyakamaina
cakravarttiyinutaiya,,,cakravartiki cendina
koramana,ghoravadanta,,ghoramaina
koramana,ghoravada,,goramaina
anlain,anlain,,an lain
catarana,sadharanavada,sadharana,sadharanamaina
anataiyana,anathanada,anatharaya,adavayaina
anataiyana,anathanadanta,anatharaya,anathayaina
pu velai ceyyappatta,hugala kasuti madidantaha,,puspamulato kattabadina embrayidari pani
anantamana,prasannavadantaha,anandapradamaya,anandadayakamaina
anantamana,anandakaravadantaha,prasannatadayakamaya,ahladakaramaina
anantamana,anandakaravada,anandadayakamaya,ranjanamaina
paravacamana,,,prahladamaina
cantosamana,santosakaravadantaha,,santasamaina
urkacamana,sukhapradavadanta,sukhapradamaya,sukhamaina
manoratamana,manoranjakavadantaha,,manoranjakamaina
manoratamana,manoranjakavadanta,,manoharamaina
atikaramillata,adhikarahina,adhikaramillatta,adhikarahina
atikaramillata,adhikaravillada,adhikaramillatta,adhikaramleni
ajarana,hajarada,,hajaraina
akampavamulla,,ahambhavamulla,ahambhavangala
karvamana,garva,,garvangala
akankaramana,,ahankariyaya,ahankarangala
akankaramana,ahankariyada,ahankaram,ahankaraina
kastamnirainta,,,kastakaramaina
cankatamnirainta,sankatagondanta,,sankatam gala
niyayamarra,anyayada,anyayamaya,anyayamaina
niyamikkappatata,niyama rahitavadantaha,,aniyamitamaina
niyamikkappatata,niyamarahitavadantaha,,niyamarahitamaina
conta,,,sonta
camamana,samanantara,samantaramaya,samanamaina
camamana,samanadantaha,samamaya,samamaina
orematiriyana,pratirupa,pratirupamaya,pratikrti
orematiriyana,pratirupa,pratirupamaya,pratirupam
tirava,drava,,dravamu
atikarappurvamana,,,adhikara paramaina
nerana,nera,,neruga
valimaiyana,,,baliyamaina
iru cama pakkamulla,,samamaya rant kaiyyulla,rendu samana bhujalu gala
ruciyulla,ruciyada,,rucigala
cattiyamana,,satyamaya,satyamaina
upayokamana,upayogavaguvanta,prayogaksamata,upayogakaramaina
cakkaramulla,cakragaliruva,cakramulla,cakralugala
amhairik,amharik,,amahairika
pelaras,belaras,belarsi,belarasi
potsvanayi,botsavanayiya,botsvanayute,botsavan
kutiyerra nilam totarpana,,,valasa prantamulo nivasincunatti
estoniya,stoniyayi,,stoniyayi
asistvati,astitvavadiyadantaha,,asthitvavadiyaina
munru cakkaramulla,muru gali cakra,munnu cakramulla,mudu cakralu gala
nalu cakkara,nalku gali cakra,nalu cakramulla,nalugu cakralu gala
manitaneyamana,manaviyavadanta,manusikamaya,manaviyamaina
vitantavatamcey,vitanda-vada-madu,,vitandavadam ceyu
keli cey,,,geliceyu
parikacamcey,,,parihasanceyu
elanamcey,,,helanaceyu
karjanaicey,,,garjanaceyu
nirakari,tiraskarisu,,tiraskarincu
pecu,,,pelcu
tinnu,tinnu,tinnuka,tinu
mey,,meyuka,meyu
kaitucey,,,khaiduceyu
cetukku,,,cekku
kattu,kattu,,kattu
kalakku,kalasu,,kalapu
nakku,nekku,nakkuka,naku
killu,,,gillu
poratu,,,poradu
natu,,,natu
cey,,,ceyu
tayarcey,,,tayaruceyu
alankari,alankarisu,,alankarincu
vivacayattirku takuti cey,krusige yogyavaguva hage madu,,vyavasaya yogyam ceyu
piracuri,,,pracurincu
urpatti cey,,,utpatti ceyu
payappatu,bhayahondu,,bhayapadu
cantosappatu,santosa padu,,santosapadu
po,hogu,povuka,povu
ninta payanam cey,kastadinda dari madikondu sagu,prayasameriya ninta yatra ceyyuka,sudhirgha yatra ceyu
ninta payanam cey,kastadinda dari madikondu sagu,prayasameriya ninta yatra ceyyuka,podavaina kathina yatra ceyu
ninta payanam cey,kastadinda dari madikondu sagu,prayasameriya ninta yatra ceyyuka,dirgha kathina yatra ceyu
konamulla,konayuktavada,,konamulugala
atikamana cattam uruvaku,dham dham sabdha madu,,dhamadhama sabdham vaccu
maunamayiru,summanagu,manamavuka,maunamagu
marru,,,marcu
tavunlotu cey,daun lod madu,,daun lod ceyu
ankikari,angikaramadu,angikarikkuka,angikarincu
maru,,,maru
tannutaiya atikarattil etuttukkol,namma kaige tandu kollu,,tanaadhikaramlovundu
palikotu,bali-kodu,,bali ceyu
palikotu,bali-kodu,,bali ivvu
oppukkol,oppikollu,,oppukonu
anukulamakku,anukulakaravagu,anukulamavuka,anukulamagu
anukulamakku,anukulakaravagu,anukulikkuka,anukulapadu
"pirakaci,",prakasisu,,prakasincu
ki.pi.,,,e.di
katinamaka,kathinavagi,,kathinanga
accariyamaka,ascaryakara,ascaryapurvam,ascaryakaramaina
piratyekamaka,,pratyekamayi,pratyekanga
vicesamaka,visesavada,,visesanga
,namadheya,namadheyam,
,namadheya,namadheyam,namadheyam
,vibhaga,bhagam,
,bhaga,bhagam,bhagam
,vibhaga,bhagam,vibhagam
,viruddharthaka,viruddhapadam,
,viloma,,vilomam
,jiva,jivan,
,jiva,jivan,jivitam
,vyakti,,vyakti
,naisargika vastu,naisarggikamaya vastu,
,prakruti vastu,,prakrtika vastuvu
,naisargika vastu,naisarggikamaya vastu,naisargikavastuvu
,laksana,laksanam,laksanam
,laksana,laksanam,
,akasa mandala,akasamandalam,
,khagolasastra,,khagolaksetram
,akasa mandala,akasamandalam,akasamandalam
,samajika sambandha,samuhika bandham,
,samvahana,,samacaram
,daya,daya,
,daya,daya,daya
,anugraha,,anugraham
,sahanubhuti,sahanubhuti,
,nirgamana,aranam,
,samatuka,,saritukam
,desatyaga,desatyagam,
,palayana,palayanam,
,uddhartikarana,udattavalkaranam,
,nasa,nasam,
,nasa,nastam,
,bhranti,bhramam,
,tappu,,tappu
,bhranti,bhramam,bhrama
,bhranti,bhramam,bhranti
,cakari,,cakiri
,yantrikarana,yantravalkkaranam,yantrikarana
,yantrikarana,yantravalkkaranam,misanikarana
,yantrikarana,yantravalkkaranam,
,yantrikarana,yantrikaranam,
,prasarana,pracaranam,prasaram
,urule,urul,
,cumbana,cumbanam,
,cumbana,cumbanam,cumbanamu
,sava parikse,posrrmorttam,
,sava parikse,posrrmorttam,sava pariksa
,parikse,parisodhana,
,parikse,parisodhana,pariksa
,parikse,niriksanam,
,bandana,,bandhanamu
,rogadakarana,roganirnnayam,roganirnayam
,rogadakarana,roganirnnayam,
,rogadakarana,roganirnnayam,roga nirdharana
,arisi nemaka madidaru,,nama nirdesamu ceyuta
,sastracikitse upakarana,sastrakriyaupakaranannal,
,svikara,,svikarana
,nirnayaka mata,nirnnayakavott,
,garvadinda,,sagarvanga
,pratisthapana,,pratisthapana
,padonnati,,padonnati
,promosan,,pramosan
,pratirodha,pratikulata,
,pratirodha,pratisedham,pratipaksam
,pratirodha,pratirodham,pratikulata
,pratirodha,pratirodham,
,pratirodha,pratisedham,prativadam
,pratirodha,pratisedham,
,virodha,virodham,virodham
,virodha,virodham,
,artmapane,atmatyagam,
,atmatyaga,atmatyagam,atmarpana
,atmatyaga,atmatyagam,atmadhanam
,atmatyaga,atmatyagam,svarthatyagam
,bahiskara,bahiskaranam,
,bahiskara,bahiskaranam,bahiskarana
,bahiskara,bahiskaranam,bahiskaramu
,bahiskara,bahiskaranam,bahiskarincadam
,narahatya,narahatya,narahatya
,narahatya,narahatya,
,hatye,hatya,hatya
,atmahatye,atmahatya,
,atmahatye,atmanasam,
,atmahatye,atmaghatam,
,atmahatye,atmahuti,
,atmahatye,atmarppanam,atmahatya
,atmahatye,atmarppanam,
,sanghatane,,sthapana
,prarambha,,upakramam
,arambha,,prarabdhi
,arambha,,uparambham
,udghatane,udghatanam,
,udghatane,udghatanam,udghatam
,arambha,,samrambham
,udghatane,udghatanam,udghatana
,paripurnate,,paripurnata
,navikarana,navikaranam,navinikarana
,navikarana,navikaranam,
,pathana,,patanam
,vihara,,viharamu
,kuntutana,,kuntadam
,merevanige,,meravani
,prayana,,paryatana
,vimana yatre,vimanayatra,
,vimana yatre,vimanayatra,vimanayatra
,yatre,yatra,
,yatre,yatra,yatra
,prayana,prayanam,
,dandayatre,,dandayatra
,saphari,saphari,
,tirtha yatre,tirthayatra,
,tirtha yatre,tirthatanam,
,parvatarohana,parvatarohanam,parvatarohana
,parvatarohana,parvatarohanam,parvatadhirohanam
,parvatarohana,parvatarohanam,
,tugadu,,ugadam
,amulya parivartane,,purti parivartana
,amulya parivartane,,sampurna parivartana
,sanksiptikarana,,sanksiptikarana
,sanksiptikarana,,sanksepana
,sasaktikarana,saktikaranam,
,sava-samskara,savadaham,antyakarmam
,dahana kriye,savadaham,
,sava samskara,savasamskaram,agnikarma
,dahana-karma,savasamskaram,agnikaryam
,antyakriye,savadaham,savadahanam
,antya samskara,savasamskaram,agni samskaram
,dahana karma,savasamskaram,
,savadahana,savasamskaram,citakarma
,antya-kriye,savadaham,agnikrtyam
,antya-kriye,savasamskaram,dahana samskaram
,sava-dahana,savadaham,antyakriya
,dahana karma,savasamskaram,dahanakriya
,misrana,sammisranam,
,koylu,,koyuta
,anavarana,anavaranam,aviskaranam
,anavarana,anavaranam,
,anavarana,anavaranam,aviskarana
,bhajane,,vibhajana
,karya paddhati,,karya pranalika
,durvartane,apamaryada,
,durvartane,apamaryada,anacaramu
,durvartane,apamaryada,duracaram
,durvartane,apamaryada,dustacaramu
,durvartane,apamaryada,apacaramu
,anyaya,anyayam,
,daurjanya,,daurjanyam
,atyacara,,atyacaram
,anacara,,anacaram
,kathina,kathinam,
,manoranjane,,manoranjanam
,kride,krida,krida
,ata,,ata
,kride,krida,
,tamase,tamasa,tamasa
,ullasya,ullasam,
,vinoda,,vinodam
,hasya,,hasyam
,tamase,tamasa,
,jala-vihara,jalakrida,
,jala kride,jalakrida,jalakrida
,jalakride,jalakeli,
,bisilu-snana,suryasnanam,
,surya snana,suryasnanam,suryasnanam
,galph,golph,
,galph,golph,golpha
,no bal,nobol,
,biliyard,bilyats,
,biliyard,bilyats,biliyard
,kolahala,kolahalam,kolahalam
,kolahala,kolahalam,
,sarkas,sarkkas,
,sarkas,sarkkas,sarkasu
,sarkas-ata,,sarkasu ata
,abhinaya,,abhinayam
,natane,nrtyam,
,natane,narttanam,
,natane,natanam,
,tvare,tvara,
,vega,avegam,
,sattakarya,satkarmmam,
,saukarya,sakaryam,saukaryam
,saulabhya,sakaryam,
,udyoga,udyogam,
,upacara,paricaranam,paricarya
,adhyaksatva,addhyaksata,
,adhyaksatva,addhyaksata,adhyaksyata
,adhyaksate,pradhanyata,
,pradhyapaka,addhyapanam,adhyapakuralu
,pradhyapaka,addhyapanam,
,siksana,,siksana
,rajaniti,,rajaniti
,cikitse,,cikitsa
,parisrama,parisramikkal,
,srama,,srama
,vyayama,vyayamam,
,kasarattu,kasartt,
,sodha,parisodhana,samsodhana
,anusandhana,,anusandhanam
,anvesane,pariksanam,
,anvesane,gavesanam,parisilana
,anusandhana,,anudhavanam
,anvesane,gavesanam,
,anvesane,pariksanam,parisodhana
,samsodhane,,sodhana
,anvesane,gavesanam,anvesana
,prayoga,,prayogam
,avalokana,avalokanam,
,vislesana,visakalanam,
,vislesana,visakalanam,vislesana
,prathamika cikitse,prathamikacikitsa,
,kimoterepi,kimoterappi,
,susrusane,susrusa,
,angacceda,angachedam,angacchedamu
,angacceda,angavichedanam,
,angacceda,angachedam,
,sastrakriye,sastrakriya,
,sastracikitse,,sastra cikitsa
,aparesan,,aparesan
,baipas,bayopsi,
,bhautika cikitse,,bhautika cikitsa
,bhautika cikitse,,sariraka cikitsa
,rediyo therepi,rediyo terappi,
,prakrutika cikitse,prakrticikitsa,prakrtika cikitsa
,prakrutika cikitse,prakrticikitsa,naisargikacikitsa
,prakrutika vaidya,prakrticikitsa,
,jivanunasana,anunasikaranam,
,vesaktami,vasaktami,
,gilitu,,giltu
,kelasa,,kelasa
,kayaka,,carya
,karma,karmmam,karma
,ullanghane,langhanam,
,atikramana,atikramam,atikramam
,atikramana,atikramam,atikramana
,atikramana,atikramam,vyatikramam
,atikramana,atikramam,
,sima ullanghane,,hadduullanghana
,vyasyavrutti,vesyavrtti,
,vyasyavrutti,vesavrtti,vesya vrtti
,vyasyavrutti,vesavrtti,
,vyabhicara,vyabhicaram,
,bhogavilasa,,bhoga vilasalu
,mosa,misam,mosam
,visvasaghatukate,,visvasaghatakudu
,nambikedroha,,nammakadrohi
,rajadroha,rajyadroham,
,rajadroha,rajyadroham,rajadrohi
,bandhana,bandhanam,
,apaharana,apaharanam,apaharincadam
,apaharana,apaharanam,
,apaharana,,apaharanam
,tudugatana,,dongatanam
,desadroha,,desadrohi
,prayasa,prayasam,
,parisrama,parisramam,
,prayasa,prayatnam,
,prayasa,prayatnam,prayatnam
,yatna,yatnam,
,sangrama,sangharsam,
,dvandvayuddha,,dvandvayuddamu
,kaikaiyuddha,,mallayuddham
,dvandva yuddha,dvanda yuddham,
,niyantrana,niyantranam,niyantrana
,niyantrana,niyantranam,
,samanvaya,samanvayam,
,samanvaya,samanvayam,samanvayam
,adhikara,adhipatyam,adhikaranamu
,adhikara,adhipatyam,adhipatyamu
,svamya,,svamyamu
,adhipatya,adhipatyam,adhikaramu
,adhipatya,adhipatyam,
,laksya,laksyam,
,guri,,guri
,samraksane,,samraksana
,samraksane,samraksanam,raksana
,sva raksane,svaya raksa,
,dhumra-pana,,dhumapanamu
,svasa,svasam,
,svasa,svasam,svasa
,sambhoga,sambhogam,
,sambhoga,sambhogam,sambhogam
,pratikriye,pratikaram,pratikarmam
,pratikriye,pratikaram,pratikriya
,prativartane,pratikaram,pratikaram
,bhagakara,,bhagaharamu
,vyavakalana,vyavakalanam,
,vyavakalana,vyavakalanam,vyavakalanam
,nirakarane,nirasanam,tiraskaram
,asammati,,asammati
,nirakarane,nirasanam,nirakaram
,nirakarane,nirasanam,
,kavalu,kaval,kapala
,pahare,,pahari
,sahasiksana,sahasiksanam,
,kocing,,kocing
,kavayatu,kavatt,kavatu
,purvabhyasa,,purvaabhyasanam
,purvabhyasa,,purvabhinayam
,madaling,modaling,
,nirmana,nirmmanam,
,nirmana,nirmmanam,srjana
,srusthi,srsti,
,nirmana,nirmmanam,nirmiti
,racane,,racana
,srusthi,srsti,srsti
,nirmana,nirmmanam,nirmanam
,utpadane,utpadanam,
,utpadane,utpadanam,utpadana
,vyavasaya,,vyavasayam
,krusi,krsi,
,krusi,krsi,krsi
,pasu-sangopane,,pasupalana
,udyogakarana,,audyogikarana
,udyogakarana,,udyogikarana
,karakausala,kalakasalam,
,rekhana,,anurekhalu
,nirupane,nirupanam,
,durviniyoga,durviniyogam,
,durviniyoga,durviniyogam,durviniyogamu
,maha-yuddha,mahayuddham,mahayuddham
,maha-yuddha,mahayuddham,
,vidroha,droham,vidrohamu
,vidroha,droham,drohamu
,vidroha,vidroham,
,vidroha,droham,
,antarika yuddha,,antaryuddham
,antaryudda,,paurayuddham
,sahaya,asrayam,
,avalambane,avalambam,
,sahaya,asrayam,asrayam
,jivana vrutti,,jivanavrtti
,pratiniditva,pratinidhanam,
,hanaka,,helana
,avamana,avamanam,
,apahelane,avahelanam,
,apahelane,amananam,
,upakara,upakaram,
,upakara,upakaram,upakaramu
,ghatikotsava,,snatakotsavam
,pratikara,pratikaram,
,pratihimse,pratikriya,
,vikendrikarana,vikendrikaranam,
,satyagraha,satyagraham,satyagraham
,satyagraha,satyagraham,
,dharani,dharnna,
,dharani,dharnna,dharna
,pravesa,pravesanam,pravesam
,pravesa,pravesanam,
,netrutva,netrtvam,netrtvam
,nayakatva,,nayakatvam
,netrutva,netrtvam,
,jagarane,,jagarana
,romancana,romancam,
,stri,,stri
,mamsahari prani,,mamsaharajantuvu
,sasyahari prani,,sakaharajantuvu
,sakahari prani,,sakahara prani
,sakahari,sasyahari,
,sakahari-prani,,sakahara jivi
,kitabhaksaka,kitabhaksakan,
,kitabhaksaka,kitabhaksakan,kitaka bhaksini
,visanu,visanu,
,paropajivi,,parannajivi
,paravalambhi,paradabhoji,
,paravalambhi,paradabhoji,parannabhoji
,roganu,roganu,
,bruna,bhrunam,
,kaseruka-jivi,,kaserukajivi
,jalacara prani,jala jivi,jalacara jivi
,jalacara prani,jala jivi,
,nisacara paksi,ratrincara paksi,
,nisacarapaksi,ratrincara paksi,ratri sancarince paksi
,haralagada paksi,parakkatta paksi,
,emu,emu,
,gayaka hakki,ganappaksi,ganapaksi
,gayaka-paksi,ganappaksi,
,darji-hakki,,darjipaksi
,karataka,kaka,
,karataka,katakam,
,karataka,kakan,
,kage,makali,
,kake,kakam,
,kage,karavam,
,garuda,grddham,gradda
,grudhra,grddham,
,grudhra,garudan,
,gubula,,guba
,kappe,,kappa
,makara,,makaram
,makara,,nakram
,langali,,mandali
,bhujagi,,bhujagamu
,phani,,phani
,bhujagi,,bhujangamu
,bogi,,bhogi
,cakora paksi,,cakora paksi
,gini koli,,ginnikodi
,parivala,,paravatam
,kak tu,,kakatua
,sastani vargada prani,garbhattil ninnu janikkunna jivi,
,carma,carmmam,
,carma,carmmam,carmamu
,kavaca,kavacam,kavacam
,kavaca,kavacam,
,akaseruka jivi,akaserujantu,akaseruka prani
,akaseruka jivi,akaserujantu,
,akaseruka prani,akaserujantu,akaserukalu
,akaseruka jivi,akaserujantu,akaseruka jivi
,krimi,krimi,
,kita,kitam,
,kita,vira,
,krimi,krmi,
,javula,,jalaga
,ambuja,,kambuvu
,ambuja,,abjam
,ambuja,,kambu
,ambuja,,kambukam
,sindhupuspa,,sindhupuspam
,krauncapaksi,krancappaksi,kraunca paksi
,krauncapaksi,krancappaksi,
,sisumara,,simsumaram
,sil,sil,sil
,sil,sil,
,buldag,buldog,
,buldag,buldog,buldag
,marjala,marjjari,
,marjala,marjjaram,
,simhini,simhi,
,mungusi,,mungisa
,bavali,vavval,
,jatuka,,jatuka
,rekke,,rekka
,khura,khuram,
,gorasu,,gorija
,gorasu,,gorise
,mruga,mrgam,
,pasu,,pasuvu
,langula,langulam,
,maksika,,maksika
,maksika,,maksikam
,bhramara,bhrgam,
,pipilike,,pipilikamu
,midate,,midata
,nalavattelu,nalppattel,
,sasa,,sasam
,musaka,,musikam
,turaga,turagam,
,asva,asvam,
,asva,kudara,
,turaga,turangamam,
,asva,asva,
,turaga,turagi,turangam
,turaga,turagi,
,asvini,asvini,
,turaga,turangi,
,gardabha,garddabham,
,hipapotyaman,hippopottamas,
,camarimruga,camariman,
,jinke,,jinka
,krusnamruga,krsnamrgam,
,onte,,onte
,jiraphe,jiraph,jiraphi
,jiraphe,jiraph,
,okapi,okkappi,
,okapi,okkappi,okaphi
,parsva,,parsyam
,celina kondi,,telu kondi
,vayu kosa,vayu kosam,vayu sanci
,vayu kosa,vayu kosam,
,alu,al,
,manuja,manavan,
,vyakti,vyakti,
,manusya,manujan,
,manusya,manusyan,
,purusa,purusan,
,marta,marttyan,
,manusya,manusyar,
,manusya,manujar,
,manusya,manavar,
,manusya,manusar,
,kasayikhane,,kasayi grham
,katukarangadi,,kasayi angadi
,es,,asu
,sandi,,sandu
,turtu vahana ambyulansa,,pradhama cikitsa vahanamu
,turtu vahana ambyulansa,,rogulanu tisukonipovu vahanamu
,yantra manava,yantra manusyan,yantra manavudu
,antastu,,antastu
,pustabana,kusumakaram,puspavatika
,pustabana,puspavati,pulavanam
,pustabana,punkavanam,
,pustabana,puspavati,
,puspavatika,puspavati,kusumavanam
,puspavatika,punkavanam,puspavanam
,puspavatika,kusumakaram,
,kulume bhatti,,kummari batti
,durga,,durgam
,jalari,,jalaru
,munde,,mundu
,pradarsana mandira,pradarsana sthalam,
,atada samagri,,kridasamagri
,krideya sadhana,,kridasamanulu
,pravesa dvara,pravesanamarggam,
,pravesa dvara,pravesanakavatam,
,pravesa dvara,pravesanamarggam,pravesadvaramu
,pravesa marga,pravesanavatil,
,pravesa bagilu,pravesanamarggam,pravesa margamu
,nadupatti,,nadikattu
,lota,lotta,lota
,lota,lotta,
,gilasu,glass,
,glasu,glass,glasu
,glasu,glass,gilasa
,bangarada gani,,bangarugani
,galph kors,golph kols,
,maddugundu,,bambugundu
,maddugundu,,mandugundu
,atithi gruha,atithi bhavanam,
,atithi gruha,atithi grham,atidhigrham
,atithi gruha,atithi grham,
,athiti bhavana,atithi bhavanam,atidhibhavanam
,athiti bhavana,atithi grham,atidhisala
,atithi gruha,,atithi gadi
,atithi gruha,,atithigrham
,sabha bhavana,sabha bhavanam,
,sabha bhavana,sabha bhavanam,sabhabhavanamu
,gadiyarada mullu,,gadiyarapumullu
,bedi,,bedilu
,karada-upakarana,hastopakaranam,
,kaiya upakarana,hastopakaranam,hastopakaranam
,musuku,,musugu
,elipyad,helipat,helipad
,elipyad,helipat,
,rusigala vasasthana,rsimarute vasa sthanam,
,kurci,,kurci
,guddali,kuntali,
,janma kundali,,janmakundalam
,hotelu,hottel,
,gruha,grham,grham
,nilaya,alayam,
,gruha,grham,
,sadana,sadanam,
,sadana,bhavanam,
,vigraha,vigraham,
,vigraha,vigraham,vigraham
,pratirupa,tanirupam,
,pratirupa,pratirupam,
,sanketasucaka,,sanketam
,dauti,,davati
,masibuddi,masikkuppi,masibuddi
,masikudike,masikkuppi,sirabuddi
,masikudike,masikkuppi,
,antarjala,,antarjalam
,jakitu,jakkerr,
,jarsi,jersi,
,jet vimana,jerr vimanam,
,nagari,,nagara
,pakasale,pacakasala,pakasala
,ahara padarthagalannu siddhapadisuva mane,patram kalukunna sthalam,
,bhojana gruha,,bhojana grham
,bhojanalaya,,bhojanalayam
,pakasale,pacakasala,
,aduge sadhana,atukkala sadhanam,
,aduge sadhana,atukkala sadhanam,vanta sadhanam
,galipata,,galipatam
,curi,churika,
,katti,karttari,
,caku,,caku
,katti,kattiri,
,curi,curika,
,prayogalaya,,prayogasala
,eni,eni,
,landaru,rantal,lantaru
,latinu,rantal,lyatin
,latinu,rantal,
,kolu,kol,
,danda,dand,
,granthalaya,granthasala,granthalayam
,granthalaya,granthasala,
,jivana nauke,jivita naka,jivana nauka
,jivana nauke,jivita naka,jivitanauka
,jivana nauke,jivita naka,
,balbu,balb,balbu
,balbu,balb,
,el sidi,el si di,
,biga,,bigam
,injin,encin,
,phul pyant,phulpenr,
,magga,,maggam
,ayaskanta,,ayaskantam
,hal,hal,
,hal,hal,halu
,bhavana,,bhavanti
,rekha citra,rekhacitram,
,goli,goli,
,goli,goli,goli
,goli,goli,golikaya
,markakar,markkar,
,maulika kruti,,maulika racana
,uttama kruti,utkrstakrti,
,uttama kruti,utkrstasrsti,
,utkrusta racane,utkrstaracana,
,sutakagruha,,prasutikendram
,sutakagruha,,prasutigadi
,gori,,gori
,sadhana,,sadhanam
,suksmadarsi yantra,suksmadarsini,
,suksma darsaka,suksmadarsini,suksmadarsini
,gani,,gani
,khani,khani,khani
,khani,khani,
,darpana,darppanam,
,mukura,mukuram,
,darpana,adarsam,
,kandaka,,kandakam
,masidi,,masjid
,motaru gadi,,motar bandi
,motaru gadi,,motar saikil
,motaru-gadi,,motaru bandi
,maus,mas,
,cappali,cappal,
,vastu sangrahalaya,,sangrahalayam
,sangita vadya,,sangita vayidyam
,pasa,,pasam
,net,,net
,nyus studiyo,nyus srrudiyo,
,nib,nib,
,prastava,prastavam,
,upanyasa,upanyasam,
,nat,natt,
,nat,natt,nattu
,adike heccuva kattari,ataykka murikkunnatinnulla upakaranam,
,vighna,vighnam,
,sahitya,sahityam,
,sahitya,sahityam,sahityam
,dvipa,dipika,
,dvipa,dipam,
,dvipa,dipam,dvipam
,tailacitra,,tailacitram
,sastracikitsa kone,,salya cikitsa gadi
,anatha asrama,anathamandiram,
,anatha-asrama,anathamandiram,anatha alayam
,brassu,bras,
,kunca,,kunce
,koyyuva upakarana,,kotaupakaranalu
,pyarasut,paracyutt,parasut
,pyarasut,paracyutt,
,railudabbi,,railubogi
,marga,marggam,margam
,lekhana,lekhani,lekhani
,pennu,pen,
,lekkanike,lekhani,
,pensilu,pensil,pensil
,pensilu,pensil,
,photo,photto,photo
,bhavacitra,,chayacitramu
